item,apresentacao,quantidade,validade
OBTURADOR PROVISÓRIO SEM FLÚOR,Pote com 25g,12,02/2028
ÓCULOS DE PROTEÇÃO,Unidade,21,
PAPEL GRAU 10cmx100m,Unidade,0,
PAPEL GRAU 10cmx100m,Unidade,0,
PAPEL GRAU 10cmx100m,Unidade,13,
PAPEL GRAU 10cmx100m,Unidade,16,
PAPEL GRAU 20cmx100m,Unidade,0,
PAPEL GRAU 20cmx100m,Unidade,4,
PAPEL GRAU 20cmx100m,Unidade,1,
PAPEL GRAU 20cmx100m,Unidade,16,
PAPEL GRAU 20cmx100m,Unidade,8,
PAPEL GRAU 30cmx100m,Unidade,3,
PAPEL GRAU 40cmx100m,Unidade,4,
PAPEL GRAU 40cmx100m,Unidade,0,
PAPEL GRAU 40cmx100m,Unidade,2,
PAPEL GRAU 40cmx100m,Unidade,12,
PAPEL FILME PVC,Rolo 300 m,14,
PAR DE OLIVAS DE PVC,Pacote com 2,5,
PASTA PROFILÁTICA C/ FLÚOR 90 G,Unidade,12,02/2028
PASTA ABRASIVA,Bisnaga 2g,18,04/2027
PASTA DENTAL,Bisnaga 90g,108,
PEÇA DE MÃO RETA DE ALTA ROTAÇÃO,Unidade,2,
PEDRA DE AFIAR GOIVA PRO,Unidade,3,
PEDRA POMES BRANCA,Pote c/ 100g,10,08/2026
PÊRA COM VÁLVULA,Unidade,3,
PÊRA SEM VÁLVULA,Unidade,6,
PERFURADOR DE AINSWORTH DE AÇO DIQUE DE BORRACHA PARA ISOLAMENTO DENTAL,Unidade,0,
PINÇA ADSON SEM DENTE 12 CM,Unidade,3,
PINÇA CLÍNICA PARA ALGODÃO ADULTO N: 317,Unidade,10,
PINÇA KELLY CURVA 14CM,Unidade,1,
PINÇA ODONTOLÓGICA AÇO 17CM,Unidade,15,
PINÇA PARA DISSECÇÃO COM SERRILHA 20 CM RETA,Unidade,5,
"PLACA ACETATO CRISTAL 2,0 MM QUADRADA",Pacote com 5,6,
PLACA DE VIDRO 10 MM,Unidade,8,
PONTA DIAMANTADA CHAMA BRANCA ALTA ROTAÇÃO N°4702,Unidade,17,
PONTA TRONCO CÔNICA ALTA ROTAÇÃO N°122,Unidade,15,
PONTEIRA OU PONTA DE ULTRASSOM,Unidade,10,
PORTA AGULHA MAYO HEGAR COM SERRILHA 14CM,Unidade,3,
PORTA AMÁLGAMA METAL,Unidade,5,
PORTA MATRIZ ODONTOLÓGICO,Unidade,5,
POSICIONADOR CONE ADULTO,Unidade,3,
POTE DE SILICONE,Unidade,0,
PROPÉ DESCARTÁVEL,Pacote com 100,4,12/2025
PROTETOR ARTICULAR TIPO PLUG,Unidade,390,
RESINA COMPOSTA FLUIDA FOTOP. APPLIC FLOW MAQUIRA A2,Seringa com 2g e 5 pont.,0,07/2026
RESINA COMPOSTA FLUIDA FOTOP.OPUS BULK FILL FLOW A2,Seringa com 2g e 10 pont.,3,07/2027
RESINA COMPOSTA FLUIDA FOTOP.OPUS BULK FILL FLOW A2,Seringa com 2g e 10 pont.,5,10/2027
RESINA COMPOSTA FLUIDA FOTOP.OPUS BULK FILL FLOW A3,Seringa com 2g e 10 pont.,0,03/2027
RESINA COMPOSTA FOTOPOLIMERIZÁVEL (para dentes anteriores e posteriores) EA1 OPALLIS,Seringa com 4g,0,03/2026
RESINA PARA REEMBASAMENTO À BASE DE RESINA ACRÍLICA (SOFTCONFORT),Kit Resina + Glaze,0,08/2026
RESINA TIXOTRÓPICA (Barreira Gengival),Seringa com 2g,0,04/2026
RESSUSCITADOR MANUAL EM SILICONE,Unidade,1,
RESTAURADOR UNIVERSAL Z350XT 3M A2B CORPO,Seringa com 4g,0,06/2026
RESTAURADOR UNIVERSAL Z350XT 3M A2B CORPO,Seringa com 4g,5,01/2027
RESTAURADOR UNIVERSAL Z350XT 3M A2D DENTINA,Seringa com 4g,0,06/2026
RESTAURADOR UNIVERSAL Z350XT 3M A2E ESMALTE,Seringa com 4g,0,05/2026
"RESTAURADOR UNIVERSAL Z350XT 3M A3,5B CORPO",Seringa com 4g,0,07/2026
"RESTAURADOR UNIVERSAL Z350XT 3M A3,5B CORPO",Seringa com 4g,4,05/2029
RESTAURADOR UNIVERSAL Z350XT 3M A3B CORPO,Seringa com 4g,6,05/2029
RESTAURADOR UNIVERSAL Z350XT 3M A3D DENTINA,Seringa com 4g,2,01/2029
RESTAURADOR UNIVERSAL Z350XT 3M B3B CORPO,Seringa com 4g,10,01/2028
RESTAURADOR UNIVERSAL Z350XT 3M C2B CORPO,Seringa com 4g,0,02/2026
ROLETE DE ALGODÃO,Pacote com 100,43,
SACO DE LIXO HOSPITALAR INFECTANTE DE 100 LITROS BRANCO,Pacote com 100,606,
SACO DE LIXO HOSPITALAR INFECTANTE DE 30 LITROS BRANCO,Pacote com 100,57,
SACO DE LIXO HOSPITALAR INFECTANTE DE 50 LITROS BRANCO,Pacote com 100,9,
SACO DESCARTÁVEL PARA ALIMENTOS 23X4CM,Pacote com 1000,8,
SCALP PARA COLETA DE SANGUE A VÁCUO 21g,Unidade,68,09/2025
"SERINGA CARPULE COM REFLUXO CAPACIDADE 1,8 ML",Unidade,5,
SERINGA COM AGULHA 20 ML,Unidade,3155,08/2025
SERINGA COM AGULHA 60 ML,Unidade,85,08/2025
SERINGA COM AGULHA DE 3ML,Unidade,275,02/2028
SERINGA TRÍPLICE,Unidade,2,
